# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   299     -261.9236046373         250         62500       60631        3168       718.3
   300     -261.9236053561         248         61504       60418        3172       719.0
   301     -261.9236194102         247         61009       60672        3175       723.2
   302     -261.9236199243         240         57600       60550        3179       722.8
   303     -261.9236501583         248         61504       60579        3183       725.2
   304     -261.9236530198         252         63504       60663        3186       726.9
   305     -261.9236737608         250         62500       60529        3188       728.4
   306     -261.9236917409         231         53361       60473        3195       726.8
   307     -261.9236981777         251         63001       60495        3202       729.4
   308     -261.9237110711         232         53824       60640        3205       735.7
   309     -261.9237232864         225         50625       60524        3209       735.8
   310     -261.9237298643         242         58564       60695        3212       741.4
   311     -261.9237640110         245         60025       60602        3216       741.3
   312     -261.9237994184         242         58564       60401        3217       743.5
   313     -261.9238002114         247         61009       60649        3220       742.4
   314     -261.9238011934         244         59536       60446        3222       743.4
   315     -261.9238287618         242         58564       60418        3227       749.2
   316     -261.9238315975         248         61504       60542        3232       748.9
   317     -261.9238871305         230         52900       60658        3237       750.4
   318     -261.9238932331         257         66049       60509        3239       753.3
   319     -261.9239384172         258         66564       60636        3243       754.1
   320     -261.9239453517         238         56644       60585        3247       757.6
   321     -261.9239604750         244         59536       60542        3251       759.3
   322     -261.9239729985         239         57121       60534        3255       766.3
   323     -261.9239750857         239         57121       60553        3259       765.2
   324     -261.9240156508         258         66564       60628        3264       767.2
   325     -261.9240232185         238         56644       60651        3269       768.2
   326     -261.9240263001         228         51984       60688        3272       775.1
   327     -261.9240799825         237         56169       60594        3278       774.9
   328     -261.9240809422         251         63001       60433        3281       776.9
   329     -261.9240816759         252         63504       60541        3285       777.6
   330     -261.9240855139         226         51076       60560        3289       780.5
   331     -261.9241320111         250         62500       60608        3290       786.1
   332     -261.9241345891         233         54289       60578        3293       785.3
   333     -261.9241368035         234         54756       60491        3296       787.8
   334     -261.9242560501         246         60516       60527        3298       787.6
   335     -261.9242633957         247         61009       60549        3302       790.2
   336     -261.9242704985         244         59536       60544        3307       789.5
   337     -261.9242731470         242         58564       60513        3309       793.9
   338     -261.9242774123         241         58081       60520        3312       795.9
   339     -261.9243336168         250         62500       60687        3315       796.9
   340     -261.9243353517         237         56169       60644        3318       797.4
   341     -261.9243491296         246         60516       60612        3323       800.2
   342     -261.9243582223         239         57121       60368        3327       800.9
   343     -261.9243588309         248         61504       60686        3329       803.2
   344     -261.9243622487         249         62001       60639        3335       808.2
   345     -261.9243630755         248         61504       60486        3337       808.7
   346     -261.9243698816         260         67600       60487        3339       810.2
   347     -261.9244041117         233         54289       60667        3344       811.3
   348     -261.9244042312         239         57121       60612        3345       811.5
   349     -261.9244177515         229         52441       60405        3347       814.6
