# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7763792794         867        751689       55119         130        14.2
     2    -1121.7944416805         552        304704      223049         409        76.8
     3    -1121.7981118093         576        331776      223157         654        85.2
     4    -1121.7991988542         567        321489      223040         859        98.9
     5    -1121.8009952157         553        305809      223118        1036       112.0
     6    -1121.8016871965         582        338724      223249        1219       130.3
     7    -1121.8020392774         567        321489      223098        1372       148.6
     8    -1121.8023490779         574        329476      223125        1532       169.2
     9    -1121.8027040962         592        350464      223131        1668       197.4
    10    -1121.8028802991         565        319225      223138        1815       223.3
    11    -1121.8030021066         558        311364      223165        1931       250.8
    12    -1121.8035183845         552        304704      223177        2044       273.3
    13    -1121.8036485672         600        360000      223212        2169       302.6
    14    -1121.8037673651         570        324900      223215        2276       330.4
    15    -1121.8038768988         575        330625      223180        2359       363.1
    16    -1121.8040018886         603        363609      223192        2449       387.2
    17    -1121.8040332867         591        349281      223223        2541       415.5
    18    -1121.8041577598         585        342225      223148        2633       448.1
    19    -1121.8042552844         543        294849      222986        2717       480.4
    20    -1121.8043219546         577        332929      223027        2819       513.5
    21    -1121.8045449739         578        334084      222989        2893       553.3
    22    -1121.8046110565         587        344569      223059        2969       577.7
    23    -1121.8047165380         588        345744      222947        3045       613.3
    24    -1121.8047461807         606        367236      223071        3114       641.0
    25    -1121.8047777699         571        326041      223028        3180       673.2
    26    -1121.8048206091         564        318096      223239        3245       698.8
    27    -1121.8048794218         556        309136      223206        3308       725.6
    28    -1121.8048983307         593        351649      223134        3376       760.1
    29    -1121.8049367927         596        355216      223104        3449       795.2
    30    -1121.8049515324         554        306916      223272        3498       821.6
    31    -1121.8049948924         591        349281      223068        3548       856.5
    32    -1121.8050325672         555        308025      223152        3619       880.9
    33    -1121.8050493458         580        336400      223242        3674       924.1
    34    -1121.8050978021         604        364816      223298        3739       960.8
    35    -1121.8051120898         583        339889      223177        3798       994.8
    36    -1121.8051582096         540        291600      223166        3849      1025.8
    37    -1121.8051719164         552        304704      223253        3904      1051.0
    38    -1121.8051847664         579        335241      223072        3966      1083.6
    39    -1121.8051953910         594        352836      223196        4023      1139.2
    40    -1121.8052037734         564        318096      223086        4078      1159.7
    41    -1121.8052099908         556        309136      223003        4132      1201.0
    42    -1121.8052238117         580        336400      223091        4185      1239.9
    43    -1121.8052510000         565        319225      223012        4235      1260.9
    44    -1121.8052558366         571        326041      223225        4273      1301.9
    45    -1121.8052917844         583        339889      223195        4311      1339.5
    46    -1121.8052973158         564        318096      223149        4347      1366.3
    47    -1121.8053065430         542        293764      223125        4387      1386.5
    48    -1121.8053119654         574        329476      223010        4431      1418.9
    49    -1121.8053362078         563        316969      223035        4488      1481.0
    50    -1121.8053422686         572        327184      222944        4529      1551.8
    51    -1121.8054128282         579        335241      223136        4570      1580.1
    52    -1121.8054267927         590        348100      223011        4608      1617.4
    53    -1121.8054467086         566        320356      223181        4651      1655.3
    54    -1121.8054606886         604        364816      223123        4699      1694.5
    55    -1121.8054684820         559        312481      223287        4744      1727.5
