# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
   379     -261.9146637234         342        116964       80328        2317       380.1
   380     -261.9146791264         354        125316       80435        2318       383.6
   381     -261.9147006346         332        110224       80496        2323       382.8
   382     -261.9147015422         313         97969       80515        2325       384.1
   383     -261.9147020147         336        112896       80432        2327       384.6
   384     -261.9147026264         363        131769       80405        2328       387.4
   385     -261.9147028727         294         86436       80422        2330       381.4
   386     -261.9147035159         322        103684       80347        2332       387.6
   387     -261.9147035213         327        106929       80358        2332       386.3
   388     -261.9147211637         335        112225       80489        2334       386.0
   389     -261.9147423147         354        125316       80423        2336       386.4
   390     -261.9147423443         337        113569       80396        2336       389.1
   391     -261.9147549124         328        107584       80305        2342       386.5
   392     -261.9147882003         336        112896       80442        2345       395.7
   393     -261.9147906767         335        112225       80421        2348       401.9
   394     -261.9148018742         309         95481       80403        2351       397.8
   395     -261.9148051096         323        104329       80417        2355       402.8
   396     -261.9148063306         322        103684       80397        2359       404.4
   397     -261.9148458005         327        106929       80482        2362       403.1
   398     -261.9148464104         312         97344       80462        2363       406.5
   399     -261.9148473074         333        110889       80508        2367       408.8
   400     -261.9148496136         322        103684       80371        2368       408.8
   401     -261.9148496907         302         91204       80445        2369       406.8
   402     -261.9148830583         308         94864       80467        2370       406.2
   403     -261.9148830950         336        112896       80473        2371       409.0
   404     -261.9148894670         322        103684       80458        2373       410.5
   405     -261.9149153313         326        106276       80293        2374       410.1
   406     -261.9149153912         356        126736       80334        2375       412.7
   407     -261.9149160011         327        106929       80388        2376       409.4
   408     -261.9149332698         326        106276       80381        2377       415.3
   409     -261.9149334899         324        104976       80248        2378       409.2
   410     -261.9149335503         345        119025       80344        2380       412.1
   411     -261.9149432951         358        128164       80393        2381       411.5
   412     -261.9149440320         319        101761       80523        2383       410.1
   413     -261.9150230891         314         98596       80445        2385       413.0
   414     -261.9150231445         335        112225       80359        2386       413.1
   415     -261.9150594224         339        114921       80505        2389       416.0
   416     -261.9150596576         339        114921       80334        2391       412.9
   417     -261.9150596090         322        103684       80403        2391       418.5
   418     -261.9150608134         305         93025       80521        2393       413.7
   419     -261.9150879615         340        115600       80337        2394       418.5
   420     -261.9151560264         334        111556       80489        2397       416.5
   421     -261.9151663354         335        112225       80345        2399       425.8
   422     -261.9151694343         353        124609       80478        2401       421.8
   423     -261.9151772140         339        114921       80441        2404       418.9
   424     -261.9151772940         321        103041       80470        2406       418.0
   425     -261.9151780788         325        105625       80421        2409       423.6
   426     -261.9151781704         330        108900       80435        2410       423.7
   427     -261.9151813777         321        103041       80523        2412       423.4
