# iter              energy  ci_strings  determinants   pool_size   carryover    wall_sec
     1    -1121.7944995104         398        158404        5120         313         5.1
     2    -1121.7978130496         490        240100      173151         586        77.5
     3    -1121.7993014743         518        268324      173159         823        88.7
     4    -1121.8002501343         507        257049      173160        1028       103.3
     5    -1121.8009441669         484        234256      173167        1194       120.3
     6    -1121.8020056824         515        265225      173254        1366       139.4
     7    -1121.8027154432         492        242064      173078        1514       160.2
     8    -1121.8031515276         498        248004      173337        1654       182.2
     9    -1121.8034496840         524        274576      173142        1795       214.0
    10    -1121.8036671692         493        243049      173089        1918       236.2
    11    -1121.8038074241         489        239121      173175        2025       265.0
    12    -1121.8039509842         491        241081      173254        2132       289.3
    13    -1121.8040261872         495        245025      173105        2244       313.4
    14    -1121.8041412500         500        250000      172999        2348       342.1
    15    -1121.8041983705         513        263169      173060        2442       372.0
    16    -1121.8043159819         499        249001      173157        2536       400.4
    17    -1121.8043564943         512        262144      173231        2624       438.9
    18    -1121.8045680254         498        248004      173158        2701       471.6
    19    -1121.8046667262         466        217156      173136        2762       493.9
    20    -1121.8047150719         512        262144      173011        2841       520.9
    21    -1121.8047309135         505        255025      173103        2926       555.9
    22    -1121.8048933180         468        219024      172959        2993       576.8
    23    -1121.8049321908         515        265225      172989        3073       615.9
    24    -1121.8049658814         486        236196      173081        3117       641.3
    25    -1121.8050184966         485        235225      172981        3187       667.0
    26    -1121.8050510339         518        268324      173260        3260       699.9
    27    -1121.8050802064         490        240100      173254        3311       729.4
    28    -1121.8051012590         488        238144      173124        3369       758.7
    29    -1121.8051342751         480        230400      173121        3434       783.6
    30    -1121.8051557514         498        248004      173315        3499       815.1
    31    -1121.8051662837         514        264196      173177        3553       854.0
    32    -1121.8051869982         490        240100      173141        3612       880.4
    33    -1121.8051996074         503        253009      173226        3664       919.5
    34    -1121.8052276405         497        247009      173300        3723       944.0
    35    -1121.8052498682         503        253009      173150        3783       981.3
    36    -1121.8052695268         504        254016      173306        3833      1015.5
    37    -1121.8052861920         507        257049      173196        3893      1060.0
    38    -1121.8052969348         506        256036      173098        3939      1092.9
    39    -1121.8053065664         497        247009      173146        3985      1120.3
    40    -1121.8053201738         504        254016      173140        4025      1151.1
    41    -1121.8053271339         501        251001      173134        4080      1179.8
    42    -1121.8053363853         501        251001      173047        4117      1215.9
    43    -1121.8053468016         502        252004      173024        4161      1243.7
    44    -1121.8053662811         478        228484      173270        4202      1272.2
    45    -1121.8053962109         504        254016      173045        4247      1303.8
    46    -1121.8054061640         476        226576      173075        4285      1349.4
    47    -1121.8054117585         506        256036      173293        4323      1403.3
    48    -1121.8054443834         503        253009      173358        4362      1433.7
    49    -1121.8054802743         488        238144      173079        4396      1454.7
    50    -1121.8054925159         512        262144      173180        4437      1490.1
    51    -1121.8054999022         497        247009      173358        4469      1518.0
    52    -1121.8055113256         502        252004      173031        4515      1569.4
    53    -1121.8055163208         492        242064      173183        4543      1588.9
    54    -1121.8055236668         454        206116      173188        4580      1613.6
    55    -1121.8055306004         489        239121      173241        4617      1648.3
    56    -1121.8055371826         493        243049      173025        4657      1681.1
    57    -1121.8055443196         502        252004      173172        4694      1711.0
    58    -1121.8055474852         473        223729      173250        4725      1738.6
    59    -1121.8055513574         524        274576      173288        4758      1774.1
    60    -1121.8055587528         502        252004      173174        4788      1810.6
    61    -1121.8055611333         509        259081      173054        4817      1831.1
    62    -1121.8055713351         498        248004      173144        4838      1857.7
    63    -1121.8055836878         484        234256      173239        4863      1879.2
    64    -1121.8055983108         493        243049      173152        4894      1908.9
    65    -1121.8056001303         475        225625      173286        4923      1944.8
    66    -1121.8056081900         496        246016      173143        4950      1973.5
    67    -1121.8056279757         506        256036      173167        4987      2003.0
    68    -1121.8056292392         472        222784      173127        5016      2048.7
    69    -1121.8056318757         515        265225      173143        5037      2082.4
    70    -1121.8056568310         515        265225      173155        5066      2110.2
    71    -1121.8056621077         509        259081      173194        5089      2151.3
    72    -1121.8056687106         496        246016      173047        5107      2177.4
    73    -1121.8056717871         531        281961      173247        5135      2199.9
    74    -1121.8056759226         499        249001      173198        5154      2217.8
    75    -1121.8056796086         530        280900      173080        5181      2258.5
    76    -1121.8056812468         486        236196      173315        5208      2283.4
    77    -1121.8056857658         488        238144      173273        5228      2313.2
    78    -1121.8057133978         519        269361      173070        5246      2370.5
    79    -1121.8057160482         502        252004      173045        5268      2360.4
    80    -1121.8057238605         534        285156      173101        5305      2422.9
    81    -1121.8057267714         520        270400      173190        5329      2453.5
    82    -1121.8057280713         475        225625      173087        5348      2495.2
    83    -1121.8057307193         525        275625      173069        5369      2530.2
    84    -1121.8057336541         505        255025      173223        5399      2551.0
    85    -1121.8057346716         510        260100      173196        5420      2597.5
    86    -1121.8057372814         510        260100      173140        5437      2620.6
    87    -1121.8057393078         477        227529      173120        5455      2639.8
    88    -1121.8057456883         487        237169      173332        5476      2672.0
    89    -1121.8057475369         513        263169      173135        5501      2700.0
    90    -1121.8057515521         487        237169      173244        5527      2752.1
    91    -1121.8057527722         500        250000      173108        5547      2765.5
    92    -1121.8057535475         490        240100      173164        5567      2797.8
    93    -1121.8057599555         508        258064      173220        5587      2822.6
    94    -1121.8057608461         520        270400      173250        5608      2851.0
    95    -1121.8057654196         496        246016      172993        5620      2885.6
    96    -1121.8057683321         500        250000      173189        5636      2887.4
    97    -1121.8057726924         522        272484      173218        5662      2935.3
    98    -1121.8057737470         485        235225      173274        5677      2947.2
    99    -1121.8057746360         501        251001      173165        5689      2962.6
   100    -1121.8057751883         494        244036      173285        5706      2996.4
   101    -1121.8057777564         506        256036      173265        5725      3039.7
   102    -1121.8057783952         497        247009      173208        5742      3056.2
   103    -1121.8057812646         500        250000      172969        5761      3072.6
   104    -1121.8057825915         486        236196      173126        5774      3099.3
   105    -1121.8057843538         493        243049      173211        5795      3117.4
   106    -1121.8057851910         468        219024      173064        5810      3151.9
   107    -1121.8057913068         466        217156      173143        5819      3168.5
   108    -1121.8057926472         468        219024      173051        5832      3180.0
   109    -1121.8057936565         510        260100      173204        5840      3212.3
   110    -1121.8057965631         471        221841      173173        5859      3219.5
   111    -1121.8057983929         494        244036      173382        5876      3258.7
   112    -1121.8057995569         514        264196      173218        5892      3278.8
   113    -1121.8058006856         495        245025      172889        5904      3305.5
   114    -1121.8058023221         498        248004      173234        5910      3318.2
   115    -1121.8058032904         480        230400      173025        5925      3331.0
